date,team1,team2,team1_score,team2_score,spreads_json
20061120,Toronto,Utah,96,101,"{""19"": [""+8.5 -110"", ""-8.5 -110""], ""93"": [""+9 -110"", ""-9 -110""], ""238"": [""+9 -121"", ""-9 +111""]}"
20061120,Dallas,Charlotte,93,85,"{""19"": [""-4 -110"", ""+4 -110""], ""93"": [""-4.5 -110"", ""+4.5 -110""], ""238"": [""-4 -103"", ""+4 -107""]}"
20061120,Phoenix,Golden State,113,110,"{""19"": [""-4 -110"", ""+4 -110""], ""93"": [""-2.5 -110"", ""+2.5 -110""], ""238"": [""-3.5 -116"", ""+3.5 +106""]}"
20061120,Orlando,Memphis,86,95,"{""19"": [""-3 -110"", ""+3 -110""], ""93"": [""-3.5 -110"", ""+3.5 -110""], ""238"": [""-3 +101"", ""+3 -111""]}"
20061120,Houston,New York,97,90,"{""19"": [""-4 -110"", ""+4 -110""], ""93"": [""-4.5 -110"", ""+4.5 -110""], ""238"": [""-4.5 +103"", ""+4.5 -113""]}"
20061121,Washington,Dallas,80,107,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 -106"", ""-5 -104""]}"
20061121,Detroit,Philadelphia,97,87,"{""19"": [""-4.5 -110"", ""+4.5 -110""], ""93"": [""-4.5 -110"", ""+4.5 -110""], ""238"": [""-4 -105"", ""+4 -105""]}"
20061121,Milwaukee,Indiana,88,93,"{""19"": [""+4 -110"", ""-4 -110""], ""93"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+4.5 +100"", ""-4.5 -110""]}"
20061121,Chicago,Denver,109,113,"{""19"": [""+2.5 -110"", ""-2.5 -110""], ""93"": [""+2.5 -110"", ""-2.5 -110""], ""238"": [""+3 -120"", ""-3 +110""]}"
20061121,Miami,New Orleans,86,101,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+4.5 +102"", ""-4.5 -112""]}"
